,cumOOI_index,kepid,prob0,prob1
433,2237,4665571,0.039920729036879245,0.9600792709631206
1270,5419,4638237,0.04008724053482381,0.9599127594651762
854,4028,9896018,0.040678503487709905,0.9593214965122903
198,1320,7984047,0.04124582621622999,0.95875417378377
188,1276,7811397,0.0413182066333798,0.9586817933666201
596,2841,8360640,0.04153243920990359,0.9584675607900962
401,2109,3861595,0.04204988752071229,0.9579501124792875
1779,6915,2019477,0.042253565723826346,0.9577464342761739
296,1780,7449554,0.04280083574623173,0.9571991642537679
535,2624,7668416,0.04326151449307941,0.9567384855069209
1384,6043,6805414,0.04340384983958444,0.9565961501604155
532,2614,10190075,0.044019680258698415,0.9559803197413017
1873,7212,8168187,0.04423883540775545,0.9557611645922447
40,372,9032900,0.04605453977466548,0.9539454602253344
2225,8706,10812541,0.046429925519071186,0.9535700744809285
556,2700,5903749,0.04716842444745553,0.9528315755525444
2114,8269,4735826,0.048523598523184504,0.9514764014768159
268,1669,8261920,0.0493644443180074,0.9506355556819925
725,3558,4478168,0.049928481557288365,0.9500715184427116
1880,7233,7289317,0.05006724758218748,0.9499327524178124
623,2934,7106173,0.050166198473977984,0.9498338015260223
2033,7950,4860678,0.050603027616371074,0.949396972383629
1324,5878,2715695,0.050635841500796246,0.9493641584992035
1834,7070,8332521,0.05179715726017819,0.9482028427398222
392,2087,10387742,0.05185030801630405,0.9481496919836958
568,2745,6523351,0.052476976426109524,0.9475230235738905
559,2706,8581240,0.052789256418715264,0.9472107435812851
2337,9214,12120307,0.053389326890789256,0.9466106731092107
727,3575,7256914,0.05380465890051507,0.9461953410994848
154,1147,11177543,0.05553236171725417,0.9444676382827456
1228,5086,6058816,0.05846818564538414,0.9415318143546162
1335,5906,6372194,0.059709766396851716,0.9402902336031488
1512,6418,8644911,0.06029469119684365,0.9397053088031568
1235,5146,11547869,0.06055216599930144,0.939447834000699
1821,7030,4742420,0.06149657270958438,0.9385034272904158
642,3013,10513530,0.061609147068954824,0.9383908529310448
546,2660,11618601,0.06305051029815613,0.9369494897018437
2197,8597,7100673,0.06535346817606814,0.9346465318239321
1262,5373,8827930,0.06578347068978099,0.9342165293102195
332,1897,6062929,0.06699672609433763,0.9330032739056621
1123,4716,12401132,0.06750238147342526,0.9324976185265748
573,2763,4072955,0.06767962972975741,0.9323203702702427
2241,8761,5981058,0.06767962972975741,0.9323203702702427
2172,8510,11288772,0.067742166245711,0.9322578337542891
925,4219,9947653,0.06793663661010585,0.9320633633898943
2137,8344,5184911,0.06830837441894042,0.9316916255810596
1151,4808,5384713,0.06882433848946562,0.9311756615105345
1785,6930,4472818,0.07020179529750456,0.9297982047024955
1302,5681,4173026,0.07032762871341651,0.9296723712865833
269,1670,8261920,0.07074525043150622,0.9292547495684939
